start	end	text
0	7380	我們很榮幸的邀請到一位國內非常知名的財經專家
7380	12580	他本身也是我們臺灣一個非常擁有的單位
12580	16000	臺灣經濟研究院的院長
16000	20000	然後各位如果有看這個上網去
20000	27300	剛剛有請大家先上網去查一下這個建博老師
28300	29300	沒關係啦
29300	37300	他本身也是中信金控的首席部位
37300	44300	那這個院長他本身在臺灣有非常多的台頭
44300	52300	但是他真正的專長他是從理論面來去分析我們這個整個財經政策
52300	57300	因此他對於臺灣整個政治的貢獻是非常的大的
57300	63300	那另外這個建博院長他本身也是逃離蠻天下
63300	69300	就我本身知道的我們東海大學國貿系的系主任
69300	72300	也是我們院長的學生
72300	77300	所以本身來講的話他不管在這個專業知識上面
77300	81300	跟這個教育領域上面也都非常貢獻良多
81300	84300	那他幾個有非常大的專長就是
84300	90300	他對於這個世界經濟的版本的趨勢分析非常的厲害
90300	93300	那第二個呢他對於這個疫後
93300	95300	因為剛好疫情過去了嘛
95300	101300	疫後的這個新經濟跟新的挑戰分析的這個很透徹
101300	108300	再來就是我比較驚訝的這個院長他對這個GDP也都有相當誠摯的了解
108300	112300	所以說不管是在財經領域不管在科技領域呢
112300	114300	他都非常的熟練
114300	118300	還有一點呢坦白講是我個人真的非常佩服的
118300	122300	也就是說這個建博院長他每個禮拜
122300	126300	他都會回到彰化去照顧他的母親
126300	131300	所以這一點就是這個在豐富的這個學術領域上面
131300	134300	對於這個進人質的這個效應呢
134300	137300	我們院長也都是這個勢必貢獻
137300	140300	那這一點呢我除了這個佩服之外呢
140300	142300	我還有相當多的感動
142300	146300	那現在今天剛好又是這個教師節
146300	152300	那現在呢我們用非常熱烈的掌聲來去歡迎我們的這個
152300	155300	我們最親切最接近我們的這個林院長
162300	165300	謝謝謝謝老師的介紹
165300	167300	這個今天很高興
167300	171300	在這個教師節呢來跟大家談半導體產業
171300	173300	對總體經濟的影響
176300	179300	這個這是我的簡單的介紹
179300	183300	我現在其實也是我們智慧母親中心的整座教師
183300	188300	所以我都說希望聖簡老師這個還有Peter
188300	190300	都幫我安排一些機會可以來幫忙
191300	196300	那我知道這個課程是黃西元你們的這個校友
196300	198300	他organize出來
198300	202300	那當時就是要我講這個總體經濟觀點
202300	205300	我今天是第一次講我還有第二次的機會
205300	208300	那第二次的機會就是今天沒有講完的
208300	212300	再加上我覺得很重要的海氣電
212300	216300	他為什麼會變成是這麼大的一個廠商
216300	218300	還有一個大家最關心的
218300	221300	另外一個廠商的是NVIDIA
221300	223300	我這邊馬上告訴你
223300	227300	其實NVIDIA的市值比台氣電還大一倍
227300	229300	台氣電大概才五千億美金
229300	231300	然後五千億美金在台灣我們就說
231300	233300	他是這個護國神山
233300	236300	那你想想看NVIDIA黃能鴻
236300	239300	他的已經是造園產業了
239300	240300	在美國造園產業了
240300	242300	所以從這上面來講
243300	247300	黃能鴻的貢獻
247300	249300	他其實不亞於張總統
249300	252300	黃能鴻真的是很厲害
252300	253300	所以我第二次的課
253300	255300	我就會介紹他們兩個的公司
255300	257300	不過今天我給各位準備的內容
257300	259300	就包含了這幾個部分
259300	261300	不過前提都是講半導體產業
261300	264300	所以是半導體產業對總體經濟的貢獻
264300	269300	然後談我們半導體產業跟經濟發展的關係
269300	271300	因為半導體產業太長了
271300	272300	我就都沒寫
272300	275300	大家知道我這個課程要講半導體產業
275300	277300	然後第三個部分是談
277300	280300	半導體產業未來的發展
280300	281300	然後第四個部分談
281300	283300	半導體產業未來的挑戰
283300	286300	那我準備的東西其實蠻多的
286300	288300	我已經進到三到四十六頁
288300	290300	但是我覺得我還是很怕會講不好
290300	291300	不過講不好沒有關係
291300	293300	反正我還有下一次
293300	295300	可以做一點聲說
295300	297300	那這個我先講一下
297300	299300	我今天的一個感想
299300	304300	因為我平常我來台中台北
304300	307300	從來沒有過說會緊張的
307300	309300	但是因為今天是這一班課
309300	311300	我就覺得特別有緊張
311300	312300	那從來我也不會覺得說
312300	313300	我會搭不上車
313300	316300	然後會遲到
316300	317300	結果今天進來
317300	319300	我沒有搭上我那班
319300	322300	十二點不來台北的直達車
322300	324300	還好就是因為中秋節禮節
324300	325300	中秋節禮節
325300	327300	所以他十二點三十六有一班
327300	329300	另外的加班車
329300	331300	不過問題是十二點三十六的加班車
331300	332300	是不是一站都停
332300	334300	所以我到台中站的時候
334300	336300	已經是十三點四十二分
336300	338300	然後才趕過來
338300	339300	那趕過來
339300	341300	我覺得這個兩點開始上課
341300	343300	那是已經有點遲到
343300	346300	還好我後來看到是兩點十分
346300	348300	再加上這個鄭賢老師幫我
348300	349300	做一點語言
349300	350300	所以感覺到還好
350300	352300	就是也喘了一口氣
352300	355300	所以我這邊要告訴同學一個觀念
