start	end	text
30000	60000	這間餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的�
60000	90000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
90000	120000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
120000	150000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
150000	180000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
180000	210000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
210000	240000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
240000	270000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
270000	300000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
300000	330000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
330000	360000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
360000	390000	餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
390000	401500	還有餐廳的餐廳的餐廳的餐廳的餐廳的餐廳
