start	end	text
500	3500	陳明 global
17500	19500	製作outso
19500	20500	班平
20500	21500	俄羅斯
24500	25500	發電
25500	26500	新主已經
26500	27500	法國
27500	29000	徹果
59000	69000	如果你今天假日要去高雄拍照,你去找他
69000	79000	如果你今天假日要去高雄拍照,你去找他
79000	89000	如果你今天假日要去高雄拍照,你去找他
109000	119000	如果你今天假日要去高雄拍照,你去找他
139000	149000	如果你今天假日要去高雄拍照,你去找他
169000	179000	如果你今天假日要去高雄拍照,你去找他
199000	209000	如果你今天假日要去高雄拍照,你去找他
229000	239000	如果你今天假日要去高雄拍照,你去找他
259000	269000	如果你今天假日要去高雄拍照,你去找他
289000	299000	如果你今天假日要去高雄拍照,你去找他
319000	329000	如果你今天假日要去高雄拍照,你去找他
349000	359000	如果你今天假日要去高雄拍照,你去找他
379000	389000	如果你今天假日要去高雄拍照,你去找他
409000	419000	如果你今天假日要去高雄拍照,你去找他
439000	449000	如果你今天假日要去高雄拍照,你去找他
469000	479000	如果你今天假日要去高雄拍照,你去找他
499000	509000	如果你今天假日要去高雄拍照,你去找他
529000	539000	如果你今天假日要去高雄拍照,你去找他
559000	569000	如果你今天假日要去高雄拍照,你去找他
589000	599000	如果你今天假日要去高雄拍照,你去找他
619000	629000	如果你今天假日要去高雄拍照,你去找他
649000	659000	如果你今天假日要去高雄拍照,你去找他
679000	685000	好,來,感謝各位同學
685000	695000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
695000	705000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
705000	715000	這一次我們可以共聚一堂,來去見證一位非常優秀的女性
715000	725000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
725000	735000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
735000	745000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
745000	755000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
755000	763000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
763000	769000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
769000	777000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
777000	785000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
785000	791000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
791000	797000	尊敬的劉貝森總監,還有很敬愛的同學,跟敬愛的來賓
