start	end	text
0	3000	各位同學,大家下午早
6000	9000	來,大家下午早
9000	11000	好,謝謝大家
11000	19000	我們今天也非常高興的再次邀請了林院長
19000	23000	然後各位可能第一次有聽過
23000	27000	可是不大曉得林院長的購歷
27000	30000	雖然我們上次在院長講了非常多
30000	33000	有關於經濟跟半導體的事情
33000	37000	可是各位應該知道我們上個禮拜
37000	40000	請劉沛珍總監
40000	43000	他來跟各位演講一次,非常的精彩
43000	47000	各位還記不記得劉沛珍總監的單位
48000	50000	還記得嗎
50000	56000	他是我們台積月財經資料部的總監
56000	60000	可是我要跟大家報告的一點就是
60000	64000	林院長之前是台積月的院長
64000	67000	他帶領這個院是往外出的
67000	72000	所以之前的這些老師都是在院長底下
72000	74000	一起來做事情
74000	76000	所以這個是我要跟大家報告的
76000	81000	但是還有一個是今天各位一定非常有收穫
81000	85000	上次我們院長跟我們說明了很多
85000	88000	這個經濟跟半導體的關係
88000	91000	可是他上為了劉沛的彩蛋
91000	95000	他要告訴我們這個納米尼亞
95000	99000	以及這個台積電它厲害的地方
99000	101000	那這個我們再
101000	103000	我先打一個小小的廣告
103000	106000	因為我本身也在教行銷的
106000	110000	行銷有兩個非常重要的概念
110000	112000	我下學期的禮拜五下午
112000	114000	我們在戲館戲裡也有台客
114000	117000	有兩個桌的專利要交代給大家
117000	121000	一個就是我們談到很重要的價值主張
121000	125000	一個就是我們談到另外一個很重要的價值銷售
125000	127000	而這兩個東西
127000	130000	我們的院長在今天就要告訴大家
130000	134000	這個台積電它創造了哪些價值
134000	137000	納米尼亞創造了哪些價值
137000	140000	而這些價值就必須要讓各位了解到
140000	143000	它在經濟上面能怎麼來做展現
143000	145000	我要跟各位講
145000	147000	今天你們坐在這邊
147000	150000	吸收到今天練完整的這一堂課
150000	153000	你們一定會收購非常的多
153000	156000	接下來我們就用各位的掌聲
156000	159000	歡迎到我們的好朋友建築院長
159000	161000	謝謝建築院長
166000	168000	謝謝建築院長
168000	171000	謝謝政協老師的介紹
171000	174000	很高興有這個機會
174000	177000	再次來到我們學校裡面
177000	182000	來談這個半導體的產業回旋程
182000	185000	我分到的任務就是總體經濟觀點
185000	187000	上一次的總體經濟觀點
187000	189000	我首先告訴大家的是
189000	192000	半導體產業對總體經濟的貢獻
192000	194000	所以這個
194000	196000	譬如說半導體產業占
196000	199000	我們國家的GDP大概13%左右
199000	201000	所以這是非常大的產業
201000	204000	那我第二個部分上次講的
204000	206000	一個很重要的就是
206000	209000	為什麼台灣有半導體產業
209000	212000	你知道這個不是屏風掉下來
212000	215000	一般的國家也沒有半導體產業
215000	218000	台灣竟然有半導體產業
218000	220000	所以我特別去講
220000	223000	當時我們國家怎麼做這個決策
223000	225000	所以這一段其實是
225000	227000	在我學經濟的人看來
227000	230000	非常重要的一個過程
230000	232000	告訴大家說台灣
232000	235000	我們能夠走上今天
235000	237000	有這麼好的一個產業
237000	239000	真的非常不簡單
239000	241000	所以第二個部分的經濟發展
241000	245000	我甚至是從我們光復以後
245000	248000	昨天是台灣光復紀念節
248000	250000	那光復開始
250000	253000	那時候台灣的平球
253000	256000	然後能夠這樣逐步發展起來
256000	258000	這個我們真的都要感謝
258000	260000	當時國家的規劃
260000	262000	所以那個部分
