start	end	text
60000	64000	然後再加上一半的動作
64000	68000	然後再加上一半的動作
68000	72000	然後再加上一半的動作
72000	76000	然後再加上一半的動作
76000	80000	然後再加上一半的動作
80000	84000	然後再加上一半的動作
84000	88000	然後再加上一半的動作
88000	92000	然後再加上一半的動作
92000	96000	然後再加上一半的動作
96000	100000	然後再加上一半的動作
100000	104000	然後再加上一半的動作
104000	108000	然後再加上一半的動作
108000	112000	然後再加上一半的動作
112000	116000	然後再加上一半的動作
116000	120000	然後再加上一半的動作
120000	124000	然後再加上一半的動作
124000	128000	然後再加上一半的動作
128000	132000	然後再加上一半的動作
132000	136000	然後再加上一半的動作
136000	140000	然後再加上一半的動作
140000	144000	然後再加上一半的動作
144000	148000	然後再加上一半的動作
148000	152000	然後再加上一半的動作
152000	156000	然後再加上一半的動作
156000	160000	然後再加上一半的動作
160000	164000	然後再加上一半的動作
164000	168000	再加上一半的動作
168000	172000	然後再加上一半的動作
172000	176000	然後再加上一半的動作
176000	180000	然後再加上一半的動作
180000	184000	然後再加上一半的動作
184000	188000	然後再加上一半的動作
188000	192000	然後再加上一半的動作
192000	196000	然後再加上一半的動作
196000	200000	然後再加上一半的動作
200000	204000	然後再加上一半的動作
204000	208000	然後再加上一半的動作
208000	212000	然後再加上一半的動作
212000	216000	然後再加上一半的動作
216000	220000	然後再加上一半的動作
220000	224000	然後再加上一半的動作
224000	228000	然後再加上一半的動作
228000	232000	然後再加上一半的動作
232000	236000	然後再加上一半的動作
236000	240000	然後再加上一半的動作
240000	244000	然後再加上一半的動作
244000	248000	然後再加上一半的動作
248000	252000	然後再加上一半的動作
252000	256000	然後再加上一半的動作
256000	260000	然後再加上一半的動作
260000	264000	然後再加上一半的動作
264000	268000	然後再加上一半的動作
268000	272000	然後再加上一半的動作
272000	276000	然後再加上一半的動作
276000	280000	然後再加上一半的動作
280000	284000	然後再加上一半的動作
284000	288000	然後再加上一半的動作
288000	292000	然後再加上一半的動作
292000	296000	然後再加上一半的動作
296000	300000	然後再加上一半的動作
300000	304000	然後再加上一半的動作
304000	308000	然後再加上一半的動作
308000	312000	然後再加上一半的動作
312000	316000	然後再加上一半的動作
316000	320000	然後再加上一半的動作
320000	324000	然後再加上一半的動作
324000	328000	然後再加上一半的動作
328000	332000	然後再加上一半的動作
332000	336000	然後再加上一半的動作
336000	340000	然後再加上一半的動作
340000	344000	然後再加上一半的動作
344000	348000	然後再加上一半的動作
348000	352000	然後再加上一半的動作
352000	356000	然後再加上一半的動作
356000	360000	然後再加上一半的動作
360000	364000	然後再加上一半的動作
364000	368000	然後再加上一半的動作
368000	372000	然後再加上一半的動作
372000	376000	然後再加上一半的動作
376000	380000	然後再加上一半的動作
380000	384000	然後再加上一半的動作
384000	388000	然後再加上一半的動作
388000	392000	然後再加上一半的動作
392000	396000	然後再加上一半的動作
396000	400000	然後再加上一半的動作
400000	404000	然後再加上一半的動作
404000	408000	然後再加上一半的動作
408000	412000	然後再加上一半的動作
412000	416000	然後再加上一半的動作
416000	420000	然後再加上一半的動作
420000	424000	然後再加上一半的動作
424000	428000	然後再加上一半的動作
428000	432000	然後再加上一半的動作
432000	436000	然後再加上一半的動作
436000	440000	然後再加上一半的動作
440000	444000	然後再加上一半的動作
444000	448000	然後再加上一半的動作
448000	452000	然後再加上一半的動作
452000	456000	然後再加上一半的動作
456000	460000	然後再加上一半的動作
460000	464000	然後再加上一半的動作
464000	468000	然後再加上一半的動作
468000	472000	然後再加上一半的動作
472000	476000	然後再加上一半的動作
476000	480000	然後再加上一半的動作
480000	484000	然後再加上一半的動作
484000	488000	然後再加上一半的動作
488000	492000	然後再加上一半的動作
492000	496000	然後再加上一半的動作
496000	500000	然後再加上一半的動作
500000	504000	然後再加上一半的動作
504000	508000	然後再加上一半的動作
508000	512000	然後再加上一半的動作
512000	516000	然後再加上一半的動作
516000	520000	然後再加上一半的動作
520000	524000	然後再加上一半的動作
524000	528000	然後再加上一半的動作
528000	532000	然後再加上一半的動作
532000	536000	然後再加上一半的動作
536000	540000	然後再加上一半的動作
540000	544000	然後再加上一半的動作
544000	548000	然後再加上一半的動作
