start	end	text
0	30000	前面那邊那邊那邊那邊那邊那邊那邊那邊那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那裡那
30000	32000	那
60000	63000	那
90000	95000	那
95000	100000	那
100000	105000	那
105000	110000	那
110000	115000	那
115000	120000	那
120000	125000	那
125000	130000	那
130000	135000	那
135000	140000	那
140000	145000	那
145000	150000	那
150000	155000	那
155000	160000	那
160000	165000	那
165000	170000	那
170000	175000	那
175000	180000	那
180000	185000	那
185000	190000	那
190000	195000	那
195000	200000	那
200000	205000	那
205000	210000	那
210000	215000	那
215000	220000	那
220000	225000	那
225000	230000	那
230000	235000	那
235000	240000	那
240000	245000	那
245000	250000	那
250000	255000	那
255000	260000	那
260000	265000	那
265000	270000	那
270000	275000	那
275000	280000	那
280000	285000	那
285000	290000	那
290000	295000	那
295000	300000	那
300000	305000	那
305000	310000	那
310000	315000	那
315000	320000	那
320000	325000	那
325000	330000	那
330000	335000	那
335000	340000	那
340000	345000	那
345000	350000	那
350000	355000	那
355000	360000	那
360000	365000	那
365000	370000	那
370000	375000	那
375000	380000	那
380000	385000	那
385000	390000	那
390000	395000	那
395000	400000	那
400000	405000	那
405000	410000	那
410000	415000	那
415000	420000	那
420000	425000	那
425000	430000	那
430000	435000	那
435000	440000	那
440000	445000	那
445000	450000	那
450000	455000	那
455000	460000	那
460000	465000	那
465000	470000	那
470000	475000	那
475000	480000	那
480000	485000	那
485000	490000	那
490000	495000	那
495000	500000	那
500000	505000	那
505000	510000	那
510000	515000	那
515000	520000	那
520000	525000	那
525000	530000	那
530000	535000	那
535000	540000	那
540000	545000	那
545000	550000	那
550000	555000	那
555000	560000	那
560000	565000	那
565000	570000	那
570000	575000	那
575000	580000	那
580000	585000	那
585000	590000	那
590000	595000	那
595000	600000	那
600000	605000	那
605000	610000	那
610000	615000	那
615000	620000	那
620000	625000	那
625000	630000	那
630000	635000	那
635000	640000	那
640000	645000	那
645000	650000	那
650000	655000	那
655000	660000	那
660000	665000	那
665000	670000	那
670000	675000	那
675000	680000	那
680000	685000	那
685000	690000	那
690000	695000	那
695000	700000	那
700000	705000	那
705000	710000	那
710000	715000	那
715000	720000	那
720000	725000	那
725000	730000	那
730000	735000	那
735000	740000	那
740000	745000	那
745000	750000	那
750000	755000	那
755000	760000	那
760000	765000	那
765000	770000	那
770000	775000	那
775000	780000	那
780000	785000	那
785000	790000	那
790000	795000	那
795000	800000	那
800000	805000	那
805000	810000	那
810000	815000	那
815000	820000	那
820000	825000	那
825000	830000	那
830000	835000	那
835000	840000	那
840000	845000	那
845000	850000	那
850000	855000	那
855000	860000	那
860000	865000	那
865000	870000	那
870000	875000	那
875000	880000	那
880000	885000	那
885000	890000	那
890000	895000	那
895000	900000	那
900000	905000	那
905000	910000	那
910000	915000	那
915000	920000	那
920000	925000	那
925000	930000	那
930000	935000	那
935000	940000	那
940000	945000	那
945000	950000	那
950000	955000	那
955000	960000	那
960000	965000	那
965000	970000	那
970000	975000	那
975000	980000	那
980000	985000	那
985000	990000	那
990000	995000	那
995000	1000000	那
1000000	1005000	那
1005000	1010000	那
1010000	1015000	那
1015000	1020000	那
1020000	1025000	那
1025000	1030000	那
1030000	1035000	那
1035000	1040000	那
1040000	1045000	那
1045000	1050000	那
1050000	1055000	那
1055000	1060000	那
1060000	1065000	那
1065000	1070000	那
1070000	1075000	那
1075000	1080000	那
1080000	1085000	那
1085000	1090000	那
1090000	1095000	那
1095000	1100000	那
1100000	1105000	那
1105000	1110000	那
1110000	1115000	那
1115000	1120000	那
1120000	1125000	那
1125000	1130000	那
1130000	1135000	那
1135000	1140000	那
1140000	1145000	那
1145000	1150000	那
1150000	1155000	那
1155000	1160000	那
1160000	1165000	那
1165000	1170000	那
1170000	1175000	那
1175000	1180000	那
1180000	1185000	那
1185000	1190000	那
1190000	1195000	那
1195000	1200000	那
1200000	1205000	那
1205000	1210000	那
1210000	1215000	那
1215000	1220000	那
1220000	1225000	那
1225000	1230000	那
1230000	1235000	那
1235000	1240000	那
1240000	1245000	那
1245000	1250000	那
1250000	1255000	那
1255000	1260000	那
1260000	1265000	那
1265000	1270000	那
1270000	1275000	那
1275000	1280000	那
1280000	1285000	那
1285000	1290000	那
1290000	1295000	那
1295000	1300000	那
1300000	1305000	那
1305000	1310000	那
1310000	1315000	那
1315000	1320000	那
1320000	1325000	那
1325000	1330000	那
1330000	1335000	那
1335000	1340000	那
1340000	1345000	那
1345000	1350000	那
1350000	1355000	那
1355000	1360000	那
1360000	1365000	那
1365000	1370000	那
1370000	1375000	那
1375000	1380000	那
1380000	1385000	那
1385000	1390000	那
1390000	1395000	那
1395000	1400000	那
1400000	1405000	那
1405000	1410000	那
1410000	1415000	那
1415000	1420000	那
1420000	1425000	那
1425000	1430000	那
1430000	1435000	那
1435000	1440000	那
1440000	1445000	那
1445000	1450000	那
1450000	1455000	那
1455000	1460000	那
1460000	1465000	那
1465000	1470000	那
1470000	1475000	那
1475000	1480000	那
1480000	1485000	那
1485000	1490000	那
1490000	1495000	那
1495000	1500000	那
1500000	1505000	那
1505000	1510000	那
1510000	1515000	那
1515000	1520000	那
1520000	1525000	那
1525000	1530000	那
1530000	1535000	那
1535000	1540000	那
1540000	1545000	那
1545000	1550000	那
1550000	1555000	那
1555000	1560000	那
1560000	1565000	那
1565000	1570000	那
1570000	1575000	那
1575000	1580000	那
1580000	1585000	那
1585000	1590000	那
1590000	1595000	那
1595000	1600000	那
1600000	1605000	那
1605000	1610000	那
1610000	1615000	那
1615000	1620000	那
1620000	1625000	那
1625000	1630000	那
1630000	1635000	那
1635000	1640000	那
1640000	1645000	那
1645000	1650000	那
1650000	1655000	那
1655000	1660000	那
1660000	1665000	那
1665000	1670000	那
1670000	1675000	那
1675000	1680000	那
1680000	1685000	那
1685000	1690000	那
1690000	1695000	那
1695000	1700000	那
1700000	1705000	那
1705000	1710000	那
