start	end	text
0	2040	以上幾支相關的題目
2820	4860	那我一開始先
5120	8700	因為我今天的專業還有我今天要講的
8700	11520	是臺灣IH比賽的發展趨勢嘛
11780	13060	那我會先從
13300	17140	整體IH半導體的趨勢立下
17140	20480	然後我會詳針那種比例的分工大概是什麼
20480	24580	還有哪一些公司還有客位同學的機會
25340	29440	我今天大概會分為這幾個item
29640	31200	大小的跟大家講
31700	32980	我第一個會先講
33240	35280	現在半導體的天時
35540	38600	就是現在半導體的大趨勢到底是什麼
38860	43220	然後接下來我們進入半導體分工道的邏輯
43480	45520	哪一些公司哪一些客業
45780	48860	然後在現在的分工其實越來越
49120	50900	應該說越來越模糊
51160	53460	那我大概分析了五種
53460	54980	這個分工的
55240	57040	退電的一種方式
57300	58580	會有五種
59000	61360	然後再過來就講
61360	63640	臺灣到底有什麼利益上的優勢
63640	66460	為什麼臺灣現在已經半導體大多了
67240	69540	再過來就是進入我的質押分享
69800	72440	那就希望我在分享的時候
72440	74660	你可以再想想看你是有什麼問題
74660	77480	因為我做了很多方程度上的轉換
78000	79000	然後
80540	83880	再下來培養質押的原因是為各位想來的
84380	87980	就是你們如何在未來會有實際的利益
88080	89560	最後的結語
90280	92540	好 先講天時
92540	95260	而天時就是要講半導體的大趨勢
95560	99480	你們就只要看我這個黃色這個就好了
100160	103220	就是現在的上面那個是
103640	105120	這個叫做
106540	107540	DEMAND
107860	109420	然後下面那個是
109760	111260	不 上面是
111720	114360	Transistor of same number of rows
114840	117680	Transist translate to a mod
117780	119780	這個是DEMAND
119780	121540	然後下面是Supply
121540	126180	就是未來對於這個半導體的依舊會一直的增加
126180	129540	然後現在本質的到處都在蓋Wave廠
129540	131840	所以這個Supply也會一直的增加
131840	134740	所以你可以看到不管空區這兩面
134740	136540	都是往正方向走
136540	138540	其實這很簡單
138540	141540	你有沒有看過電動車會越來越多
141540	144000	然後你東西要做得越來越小
144000	146340	最後都是用半導體的技術
146440	149680	現在你們的耳機都是VW
149680	150900	這麼小
150900	151600	但是
151600	152480	我們在年代
152480	153400	比什麼大
153400	156280	這一邊能做這麼小都是靠半導體
156280	161600	所以人們喜歡的東西都是越新越小越薄越久變
162200	165080	這一些都需要半導體技術的突破
165080	167600	然後再過來就是未來的電動車
167600	168840	太陽能
168840	171780	這一些最後都是產生電力
171780	173780	Power E.C.L.M.I.C.
174240	177820	都是半導體的市場
177820	181020	然後會取代越來越多傳統
181020	183020	其他例如機械
183020	185520	機械或者是其他
187520	190020	其他機械或者是
190020	192020	之類之類的技術
192020	195320	所以電子產業的E.M.I.C.
195320	197520	無用智能會越來越多
197520	199920	所以大家也一直投入
199920	201920	產生更多的Supply
202860	204860	這一上面是講一下
204860	206860	各國最近
206860	208860	對於半導體投資的薪額
208860	210860	大家可以看一下
210860	212860	這都是美金計價
212860	213860	B&R的
213860	215860	美國有520億美金
215860	218860	歐盟有461億美金等等的
218860	220860	所以可見
220860	222860	半導體受到全世界
222860	224860	各國的重視有多
224860	226860	有多重要
226860	229860	其實這也是各位的機會
230800	231800	好
231800	233800	這一個是日新新聞
233800	235800	我只是
235800	237800	還有一個重點
237800	239800	就是它半導體其實是一個
239800	240800	策略力資源
240800	242800	是國家戰略力資源
242800	244800	非要為何
244800	245800	所以這裡有寫一句話
245800	248800	Most important industrial policy issues
248800	251800	in countries around the globe
251800	253800	它是一個戰略力資源
255800	256800	接下來是講
256800	258800	半導體的大提示
258800	260800	大提示我用三個音符代表
260800	262800	AMT
262800	264800	大概加好C
264800	265800	就AMP
265800	267800	AMP在我們電路裡面
267800	269800	是放它CR
269800	271800	但是防護大提示
271800	273800	影響到半導體未來
273800	275800	會影響你們
275800	277800	至少20年的時間
277800	280800	就是AI、Memory、Page
280800	283800	就是人工智慧、記憶體
283800	285800	跟模仿技術
285800	287800	我先講AI
287800	290800	AI就是非常
290800	293800	model的成長速度
293800	295800	一開始你看最左邊黑線
